E_LOSS,E_RGB_RL,E_THERMAL_RL,E_SL,D_LOSS,D_SL,D_RL_REAL,D_RL_FAKE,D_GP,
[E2S26],1.23e-01,8.66e-02,7.96e-03,3.69e-01,1.73e+00,1.54e+00,1.01e-02,7.96e-03,3.32e-02,
[E2S27],1.52e-01,1.04e-01,9.34e-03,4.80e-01,1.67e+00,1.50e+00,1.05e-02,9.34e-03,3.18e-02,
[E2S28],1.19e-01,9.60e-02,9.04e-03,2.31e-01,1.70e+00,1.51e+00,1.00e-02,9.04e-03,3.34e-02,
[E2S29],1.38e-01,8.53e-02,8.20e-03,5.28e-01,1.74e+00,1.55e+00,9.59e-03,8.20e-03,3.39e-02,
[E2S30],8.38e-02,7.60e-02,8.93e-03,7.76e-02,1.76e+00,1.59e+00,1.08e-02,8.93e-03,3.03e-02,
[E2S31],1.34e-01,7.91e-02,9.53e-03,5.53e-01,1.71e+00,1.53e+00,1.05e-02,9.53e-03,3.07e-02,
[E2S32],9.34e-02,7.20e-02,8.07e-03,2.14e-01,1.72e+00,1.55e+00,1.08e-02,8.07e-03,3.02e-02,
[E2S33],1.24e-01,9.11e-02,9.84e-03,3.33e-01,1.72e+00,1.54e+00,1.00e-02,9.84e-03,3.20e-02,
[E2S34],1.32e-01,8.03e-02,9.94e-03,5.19e-01,1.70e+00,1.51e+00,1.25e-02,9.94e-03,3.36e-02,
[E2S35],1.17e-01,8.90e-02,1.05e-02,2.80e-01,1.68e+00,1.49e+00,1.16e-02,1.05e-02,3.23e-02,
[E2S36],1.29e-01,7.91e-02,9.75e-03,5.01e-01,1.66e+00,1.47e+00,1.11e-02,9.75e-03,3.37e-02,
[E2S37],1.12e-01,9.12e-02,1.00e-02,2.12e-01,1.82e+00,1.63e+00,1.28e-02,1.00e-02,3.22e-02,
[E2S38],1.63e-01,1.27e-01,1.05e-02,3.59e-01,1.74e+00,1.55e+00,1.24e-02,1.05e-02,3.26e-02,
[E2S39],1.17e-01,7.74e-02,8.56e-03,3.94e-01,1.64e+00,1.46e+00,9.75e-03,8.56e-03,3.32e-02,
[E2S40],1.19e-01,8.19e-02,7.86e-03,3.75e-01,1.67e+00,1.49e+00,9.17e-03,7.86e-03,3.29e-02,
[E2S41],1.29e-01,7.56e-02,7.38e-03,5.29e-01,1.72e+00,1.53e+00,1.03e-02,7.38e-03,3.46e-02,
[E2S42],8.70e-02,7.64e-02,9.05e-03,1.06e-01,1.75e+00,1.58e+00,1.11e-02,9.05e-03,3.03e-02,
[E2S43],1.19e-01,8.54e-02,8.52e-03,3.39e-01,1.74e+00,1.55e+00,1.02e-02,8.52e-03,3.34e-02,
[E2S44],1.10e-01,8.43e-02,8.10e-03,2.53e-01,1.70e+00,1.51e+00,1.01e-02,8.10e-03,3.37e-02,
[E2S45],1.14e-01,6.47e-02,7.87e-03,4.96e-01,1.79e+00,1.60e+00,1.07e-02,7.87e-03,3.38e-02,
[E2S46],9.76e-02,7.14e-02,8.23e-03,2.62e-01,1.68e+00,1.50e+00,1.05e-02,8.23e-03,3.20e-02,
[E2S47],1.21e-01,7.12e-02,7.18e-03,5.01e-01,1.75e+00,1.56e+00,8.20e-03,7.18e-03,3.37e-02,
[E2S48],1.05e-01,9.14e-02,7.31e-03,1.40e-01,1.77e+00,1.59e+00,1.02e-02,7.31e-03,3.22e-02,
[E2S49],1.14e-01,6.77e-02,7.26e-03,4.64e-01,1.81e+00,1.63e+00,1.06e-02,7.26e-03,3.36e-02,
[E2S50],9.77e-02,7.66e-02,6.95e-03,2.11e-01,1.73e+00,1.55e+00,8.72e-03,6.95e-03,3.16e-02,
[E2S51],1.24e-01,7.11e-02,6.74e-03,5.25e-01,1.71e+00,1.52e+00,9.04e-03,6.74e-03,3.40e-02,
[E2S52],9.52e-02,8.96e-02,7.26e-03,5.63e-02,1.70e+00,1.53e+00,8.53e-03,7.26e-03,3.07e-02,
[E2S53],1.04e-01,7.14e-02,8.28e-03,3.28e-01,1.75e+00,1.57e+00,9.82e-03,8.28e-03,3.23e-02,
[E2S54],9.96e-02,6.83e-02,7.51e-03,3.13e-01,1.74e+00,1.57e+00,9.52e-03,7.51e-03,3.08e-02,
[E2S55],1.12e-01,8.11e-02,8.02e-03,3.05e-01,1.70e+00,1.51e+00,9.99e-03,8.02e-03,3.43e-02,
[E2S56],1.25e-01,8.49e-02,8.23e-03,4.01e-01,1.72e+00,1.53e+00,9.76e-03,8.23e-03,3.45e-02,
[E2S57],1.10e-01,7.49e-02,7.90e-03,3.46e-01,1.72e+00,1.54e+00,9.79e-03,7.90e-03,3.33e-02,
[E2S58],1.26e-01,8.39e-02,8.89e-03,4.19e-01,1.66e+00,1.47e+00,1.03e-02,8.89e-03,3.44e-02,
[E2S59],1.07e-01,7.96e-02,9.40e-03,2.75e-01,1.66e+00,1.47e+00,1.18e-02,9.40e-03,3.43e-02,
[E2S60],1.19e-01,7.47e-02,9.27e-03,4.43e-01,1.68e+00,1.48e+00,1.05e-02,9.27e-03,3.52e-02,
[E2S61],9.15e-02,6.10e-02,8.62e-03,3.05e-01,1.79e+00,1.60e+00,1.16e-02,8.62e-03,3.36e-02,
[E2S62],9.17e-02,7.20e-02,9.83e-03,1.97e-01,1.77e+00,1.58e+00,1.07e-02,9.83e-03,3.25e-02,
[E2S63],1.00e-01,5.99e-02,8.42e-03,4.03e-01,1.75e+00,1.56e+00,1.21e-02,8.42e-03,3.30e-02,
[E2S64],7.93e-02,5.71e-02,8.73e-03,2.21e-01,1.79e+00,1.60e+00,1.17e-02,8.73e-03,3.34e-02,
[E2S65],1.34e-01,8.57e-02,9.16e-03,4.84e-01,1.73e+00,1.53e+00,1.11e-02,9.16e-03,3.54e-02,
[E2S66],6.39e-02,5.85e-02,7.45e-03,5.48e-02,1.75e+00,1.57e+00,9.20e-03,7.45e-03,3.16e-02,
[E2S67],1.29e-01,6.23e-02,8.15e-03,6.67e-01,1.77e+00,1.59e+00,1.03e-02,8.15e-03,3.17e-02,
[E2S68],7.27e-02,6.52e-02,8.73e-03,7.51e-02,1.69e+00,1.51e+00,1.08e-02,8.73e-03,3.07e-02,
[E2S69],8.92e-02,5.62e-02,8.04e-03,3.29e-01,1.75e+00,1.57e+00,1.05e-02,8.04e-03,3.31e-02,
[E2S70],8.07e-02,6.39e-02,9.44e-03,1.68e-01,1.70e+00,1.52e+00,9.98e-03,9.44e-03,3.32e-02,
[E2S71],1.10e-01,5.92e-02,9.57e-03,5.09e-01,1.77e+00,1.58e+00,1.41e-02,9.57e-03,3.35e-02,
[E2S72],6.47e-02,6.00e-02,1.08e-02,4.66e-02,1.78e+00,1.60e+00,1.25e-02,1.08e-02,3.17e-02,
[E2S73],9.94e-02,6.27e-02,1.00e-02,3.67e-01,1.75e+00,1.57e+00,1.20e-02,1.00e-02,3.26e-02,
[E2S74],8.55e-02,5.76e-02,9.87e-03,2.79e-01,1.78e+00,1.59e+00,1.13e-02,9.87e-03,3.40e-02,
[E2S75],1.02e-01,6.55e-02,8.84e-03,3.64e-01,1.68e+00,1.49e+00,1.09e-02,8.84e-03,3.46e-02,
[E2S76],9.53e-02,6.83e-02,7.89e-03,2.70e-01,1.74e+00,1.55e+00,9.97e-03,7.89e-03,3.46e-02,
[E2S77],9.85e-02,6.23e-02,8.04e-03,3.63e-01,1.72e+00,1.54e+00,1.06e-02,8.04e-03,3.36e-02,
[E2S78],8.70e-02,6.36e-02,7.82e-03,2.34e-01,1.75e+00,1.56e+00,9.93e-03,7.82e-03,3.52e-02,
[E2S79],1.15e-01,6.70e-02,8.19e-03,4.79e-01,1.72e+00,1.53e+00,1.02e-02,8.19e-03,3.48e-02,
[E2S80],9.13e-02,6.91e-02,8.33e-03,2.21e-01,1.75e+00,1.56e+00,1.08e-02,8.33e-03,3.50e-02,
[E2S81],9.39e-02,6.52e-02,6.73e-03,2.86e-01,1.73e+00,1.54e+00,8.59e-03,6.73e-03,3.43e-02,
[E2S82],1.13e-01,7.38e-02,7.11e-03,3.96e-01,1.75e+00,1.56e+00,9.02e-03,7.11e-03,3.55e-02,
[E2S83],9.62e-02,6.92e-02,7.07e-03,2.70e-01,1.74e+00,1.54e+00,9.42e-03,7.07e-03,3.58e-02,
[E2S84],9.97e-02,5.83e-02,7.25e-03,4.13e-01,1.74e+00,1.54e+00,8.97e-03,7.25e-03,3.55e-02,
[E3S0],8.37e-02,6.09e-02,7.49e-03,2.28e-01,1.71e+00,1.52e+00,9.35e-03,7.49e-03,3.57e-02,
[E3S1],1.36e-01,7.26e-02,8.49e-03,6.34e-01,1.72e+00,1.52e+00,1.07e-02,8.49e-03,3.51e-02,
[E3S2],6.02e-02,6.28e-02,8.79e-03,-2.53e-02,1.76e+00,1.58e+00,1.13e-02,8.79e-03,3.25e-02,
[E3S3],1.15e-01,6.52e-02,7.40e-03,5.00e-01,1.71e+00,1.53e+00,8.83e-03,7.40e-03,3.11e-02,
[E3S4],5.99e-02,5.24e-02,7.20e-03,7.49e-02,1.74e+00,1.56e+00,1.07e-02,7.20e-03,3.25e-02,
[E3S5],9.94e-02,6.52e-02,6.82e-03,3.42e-01,1.74e+00,1.54e+00,9.52e-03,6.82e-03,3.54e-02,
[E3S6],9.08e-02,6.92e-02,7.30e-03,2.16e-01,1.67e+00,1.47e+00,9.53e-03,7.30e-03,3.52e-02,
[E3S7],1.11e-01,6.48e-02,7.26e-03,4.61e-01,1.76e+00,1.56e+00,9.82e-03,7.26e-03,3.64e-02,
[E3S8],8.78e-02,7.25e-02,8.24e-03,1.53e-01,1.68e+00,1.48e+00,1.06e-02,8.24e-03,3.48e-02,
[E3S9],1.18e-01,6.51e-02,6.84e-03,5.25e-01,1.71e+00,1.51e+00,8.35e-03,6.84e-03,3.61e-02,
[E3S10],6.89e-02,5.95e-02,7.42e-03,9.47e-02,1.76e+00,1.57e+00,9.62e-03,7.42e-03,3.40e-02,
[E3S11],1.03e-01,5.49e-02,6.45e-03,4.77e-01,1.70e+00,1.51e+00,8.45e-03,6.45e-03,3.48e-02,
[E3S12],5.64e-02,5.35e-02,6.55e-03,2.96e-02,1.77e+00,1.58e+00,9.01e-03,6.55e-03,3.49e-02,
[E3S13],1.03e-01,6.28e-02,6.33e-03,4.05e-01,1.70e+00,1.52e+00,8.43e-03,6.33e-03,3.41e-02,
[E3S14],8.69e-02,6.20e-02,6.96e-03,2.49e-01,1.73e+00,1.54e+00,9.55e-03,6.96e-03,3.44e-02,
[E3S15],9.76e-02,6.65e-02,7.21e-03,3.11e-01,1.70e+00,1.50e+00,9.14e-03,7.21e-03,3.52e-02,
[E3S16],9.93e-02,6.41e-02,8.09e-03,3.52e-01,1.76e+00,1.57e+00,1.00e-02,8.09e-03,3.48e-02,
[E3S17],1.03e-01,7.24e-02,1.05e-02,3.08e-01,1.68e+00,1.48e+00,1.21e-02,1.05e-02,3.56e-02,
[E3S18],1.01e-01,5.79e-02,1.07e-02,4.28e-01,1.74e+00,1.54e+00,1.23e-02,1.07e-02,3.59e-02,
[E3S19],6.84e-02,6.22e-02,1.16e-02,6.18e-02,1.75e+00,1.55e+00,1.42e-02,1.16e-02,3.40e-02,
[E3S20],1.10e-01,5.97e-02,9.20e-03,5.05e-01,1.80e+00,1.60e+00,1.12e-02,9.20e-03,3.56e-02,
[E3S21],9.16e-02,7.49e-02,9.44e-03,1.66e-01,1.66e+00,1.47e+00,1.21e-02,9.44e-03,3.32e-02,
[E3S22],9.80e-02,6.22e-02,8.27e-03,3.58e-01,1.71e+00,1.52e+00,1.08e-02,8.27e-03,3.59e-02,
[E3S23],1.08e-01,7.12e-02,8.70e-03,3.70e-01,1.70e+00,1.49e+00,1.00e-02,8.70e-03,3.69e-02,
[E3S24],8.92e-02,6.46e-02,9.44e-03,2.47e-01,1.73e+00,1.53e+00,1.19e-02,9.44e-03,3.63e-02,
[E3S25],8.79e-02,6.03e-02,8.68e-03,2.77e-01,1.69e+00,1.49e+00,1.08e-02,8.68e-03,3.62e-02,
[E3S26],1.01e-01,6.27e-02,8.14e-03,3.86e-01,1.68e+00,1.47e+00,1.03e-02,8.14e-03,3.87e-02,
[E3S27],8.73e-02,6.22e-02,7.61e-03,2.51e-01,1.73e+00,1.53e+00,1.05e-02,7.61e-03,3.61e-02,
[E3S28],1.26e-01,6.02e-02,7.47e-03,6.56e-01,1.76e+00,1.55e+00,9.94e-03,7.47e-03,3.80e-02,
[E3S29],5.61e-02,6.70e-02,8.45e-03,-1.09e-01,1.83e+00,1.65e+00,1.09e-02,8.45e-03,3.13e-02,
[E3S30],1.04e-01,6.23e-02,6.87e-03,4.22e-01,1.74e+00,1.56e+00,9.38e-03,6.87e-03,3.33e-02,
[E3S31],6.33e-02,5.85e-02,7.10e-03,4.82e-02,1.75e+00,1.56e+00,9.25e-03,7.10e-03,3.56e-02,
[E3S32],1.22e-01,6.45e-02,6.87e-03,5.71e-01,1.71e+00,1.52e+00,9.53e-03,6.87e-03,3.60e-02,
[E3S33],5.15e-02,5.29e-02,6.31e-03,-1.40e-02,1.79e+00,1.61e+00,9.55e-03,6.31e-03,3.37e-02,
[E3S34],1.05e-01,6.05e-02,7.40e-03,4.45e-01,1.74e+00,1.55e+00,9.92e-03,7.40e-03,3.37e-02,
[E3S35],7.04e-02,5.39e-02,7.54e-03,1.65e-01,1.77e+00,1.59e+00,9.51e-03,7.54e-03,3.39e-02,
[E3S36],1.07e-01,6.09e-02,7.53e-03,4.62e-01,1.69e+00,1.50e+00,9.82e-03,7.53e-03,3.53e-02,
[E3S37],5.97e-02,6.07e-02,7.85e-03,-1.06e-02,1.76e+00,1.58e+00,9.86e-03,7.85e-03,3.34e-02,
[E3S38],1.14e-01,6.38e-02,8.28e-03,5.05e-01,1.72e+00,1.54e+00,1.04e-02,8.28e-03,3.36e-02,
[E3S39],8.09e-02,6.25e-02,7.30e-03,1.84e-01,1.71e+00,1.51e+00,9.57e-03,7.30e-03,3.55e-02,
[E3S40],9.33e-02,5.65e-02,6.77e-03,3.67e-01,1.70e+00,1.51e+00,8.88e-03,6.77e-03,3.52e-02,
[E3S41],1.11e-01,6.48e-02,6.98e-03,4.58e-01,1.69e+00,1.48e+00,9.70e-03,6.98e-03,3.79e-02,
[E3S42],8.42e-02,6.50e-02,7.42e-03,1.93e-01,1.74e+00,1.54e+00,9.76e-03,7.42e-03,3.62e-02,
[E3S43],1.00e-01,6.17e-02,6.92e-03,3.85e-01,1.73e+00,1.52e+00,8.79e-03,6.92e-03,3.75e-02,
[E3S44],8.59e-02,6.22e-02,7.54e-03,2.37e-01,1.70e+00,1.50e+00,1.00e-02,7.54e-03,3.61e-02,
[E3S45],9.02e-02,5.57e-02,6.95e-03,3.45e-01,1.69e+00,1.48e+00,8.69e-03,6.95e-03,3.82e-02,
[E3S46],8.59e-02,5.48e-02,6.59e-03,3.11e-01,1.73e+00,1.52e+00,9.29e-03,6.59e-03,3.76e-02,
[E3S47],8.10e-02,5.69e-02,6.64e-03,2.41e-01,1.74e+00,1.54e+00,8.30e-03,6.64e-03,3.76e-02,
[E3S48],1.03e-01,5.21e-02,6.17e-03,5.13e-01,1.74e+00,1.54e+00,9.47e-03,6.17e-03,3.75e-02,
[E3S49],5.44e-02,5.79e-02,7.17e-03,-3.49e-02,1.76e+00,1.57e+00,8.63e-03,7.17e-03,3.48e-02,
[E3S50],1.23e-01,6.27e-02,7.38e-03,6.06e-01,1.81e+00,1.62e+00,9.70e-03,7.38e-03,3.43e-02,
[E3S51],6.28e-02,5.62e-02,6.71e-03,6.54e-02,1.73e+00,1.55e+00,8.84e-03,6.71e-03,3.33e-02,
[E3S52],9.46e-02,5.71e-02,6.48e-03,3.75e-01,1.70e+00,1.51e+00,8.80e-03,6.48e-03,3.52e-02,
[E3S53],7.95e-02,5.43e-02,6.59e-03,2.52e-01,1.71e+00,1.51e+00,8.43e-03,6.59e-03,3.60e-02,
[E3S54],9.71e-02,6.34e-02,7.01e-03,3.36e-01,1.71e+00,1.51e+00,9.41e-03,7.01e-03,3.73e-02,
[E3S55],1.42e-01,1.02e-01,8.73e-03,3.99e-01,1.73e+00,1.53e+00,9.24e-03,8.73e-03,3.66e-02,
[E3S56],8.39e-02,6.34e-02,8.37e-03,2.05e-01,1.69e+00,1.50e+00,9.86e-03,8.37e-03,3.57e-02,
[E3S57],9.85e-02,6.55e-02,7.52e-03,3.30e-01,1.67e+00,1.47e+00,9.32e-03,7.52e-03,3.72e-02,
[E3S58],8.60e-02,7.24e-02,8.58e-03,1.35e-01,1.64e+00,1.43e+00,1.00e-02,8.58e-03,3.81e-02,
[E3S59],1.30e-01,5.80e-02,8.99e-03,7.18e-01,1.79e+00,1.59e+00,1.15e-02,8.99e-03,3.70e-02,
[E3S60],3.75e-02,5.94e-02,1.20e-02,-2.19e-01,1.81e+00,1.63e+00,1.42e-02,1.20e-02,3.04e-02,
[E3S61],1.30e-01,6.93e-02,1.47e-02,6.06e-01,1.74e+00,1.58e+00,1.76e-02,1.47e-02,2.61e-02,
[E3S62],5.87e-02,5.73e-02,1.69e-02,1.43e-02,1.74e+00,1.54e+00,1.88e-02,1.69e-02,3.29e-02,
[E3S63],1.14e-01,6.06e-02,1.66e-02,5.35e-01,1.68e+00,1.47e+00,1.98e-02,1.66e-02,3.37e-02,
[E3S64],6.83e-02,6.02e-02,1.21e-02,8.08e-02,1.69e+00,1.49e+00,1.51e-02,1.21e-02,3.43e-02,
[E3S65],1.24e-01,6.08e-02,1.01e-02,6.31e-01,1.66e+00,1.45e+00,1.29e-02,1.01e-02,3.64e-02,
[E3S66],4.45e-02,5.69e-02,8.32e-03,-1.23e-01,1.76e+00,1.56e+00,1.14e-02,8.32e-03,3.55e-02,
[E3S67],1.56e-01,7.17e-02,7.96e-03,8.41e-01,1.73e+00,1.55e+00,1.11e-02,7.96e-03,3.21e-02,
[E3S68],4.20e-02,5.47e-02,7.22e-03,-1.27e-01,1.78e+00,1.62e+00,9.51e-03,7.22e-03,2.92e-02,
[E3S69],9.63e-02,5.92e-02,7.37e-03,3.71e-01,1.74e+00,1.58e+00,1.03e-02,7.37e-03,2.87e-02,
[E3S70],7.06e-02,5.50e-02,7.32e-03,1.56e-01,1.68e+00,1.50e+00,1.02e-02,7.32e-03,3.26e-02,
[E3S71],1.04e-01,5.14e-02,6.34e-03,5.27e-01,1.75e+00,1.56e+00,1.03e-02,6.34e-03,3.39e-02,
[E3S72],5.70e-02,5.60e-02,7.74e-03,9.91e-03,1.72e+00,1.54e+00,1.09e-02,7.74e-03,3.26e-02,
[E3S73],9.24e-02,5.39e-02,7.31e-03,3.86e-01,1.77e+00,1.59e+00,1.01e-02,7.31e-03,3.33e-02,
[E3S74],9.36e-02,5.95e-02,7.83e-03,3.41e-01,1.67e+00,1.47e+00,9.05e-03,7.83e-03,3.61e-02,
[E3S75],9.50e-02,5.54e-02,6.62e-03,3.96e-01,1.71e+00,1.52e+00,9.21e-03,6.62e-03,3.63e-02,
[E3S76],8.18e-02,5.54e-02,7.09e-03,2.64e-01,1.76e+00,1.56e+00,9.38e-03,7.09e-03,3.65e-02,
[E3S77],8.90e-02,5.43e-02,6.26e-03,3.47e-01,1.71e+00,1.52e+00,8.86e-03,6.26e-03,3.60e-02,
[E3S78],9.62e-02,6.15e-02,7.16e-03,3.47e-01,1.68e+00,1.47e+00,8.74e-03,7.16e-03,3.71e-02,
[E3S79],1.05e-01,6.01e-02,6.96e-03,4.48e-01,1.70e+00,1.49e+00,9.57e-03,6.96e-03,3.82e-02,
[E3S80],8.00e-02,5.79e-02,6.94e-03,2.21e-01,1.74e+00,1.55e+00,9.37e-03,6.94e-03,3.51e-02,
[E3S81],9.38e-02,5.57e-02,7.38e-03,3.81e-01,1.68e+00,1.48e+00,9.52e-03,7.38e-03,3.61e-02,
[E3S82],6.89e-02,5.20e-02,7.30e-03,1.70e-01,1.74e+00,1.54e+00,1.02e-02,7.30e-03,3.63e-02,
[E3S83],9.26e-02,5.63e-02,6.81e-03,3.62e-01,1.71e+00,1.51e+00,9.75e-03,6.81e-03,3.76e-02,
[E3S84],7.88e-02,5.41e-02,7.05e-03,2.47e-01,1.75e+00,1.55e+00,1.01e-02,7.05e-03,3.69e-02,
[E4S0],8.60e-02,5.59e-02,7.16e-03,3.01e-01,1.71e+00,1.51e+00,8.65e-03,7.16e-03,3.72e-02,
[E4S1],1.02e-01,5.40e-02,7.32e-03,4.80e-01,1.75e+00,1.54e+00,9.86e-03,7.32e-03,3.84e-02,
[E4S2],7.15e-02,5.81e-02,6.52e-03,1.34e-01,1.72e+00,1.51e+00,9.31e-03,6.52e-03,3.71e-02,
[E4S3],1.10e-01,6.22e-02,8.25e-03,4.76e-01,1.72e+00,1.50e+00,1.06e-02,8.25e-03,3.85e-02,
[E4S4],7.89e-02,5.47e-02,8.28e-03,2.42e-01,1.72e+00,1.52e+00,1.15e-02,8.28e-03,3.56e-02,
[E4S5],8.74e-02,5.31e-02,9.36e-03,3.43e-01,1.72e+00,1.51e+00,1.17e-02,9.36e-03,3.80e-02,
[E4S6],9.70e-02,5.71e-02,1.01e-02,4.00e-01,1.69e+00,1.48e+00,1.22e-02,1.01e-02,3.75e-02,
[E4S7],9.17e-02,5.81e-02,9.64e-03,3.36e-01,1.69e+00,1.48e+00,1.25e-02,9.64e-03,3.86e-02,
[E4S8],1.03e-01,6.31e-02,9.39e-03,4.03e-01,1.65e+00,1.44e+00,1.12e-02,9.39e-03,3.82e-02,
[E4S9],9.15e-02,6.09e-02,9.24e-03,3.06e-01,1.74e+00,1.53e+00,1.16e-02,9.24e-03,3.77e-02,
[E4S10],8.45e-02,6.54e-02,7.93e-03,1.92e-01,1.70e+00,1.48e+00,1.13e-02,7.93e-03,4.00e-02,
[E4S11],1.33e-01,6.23e-02,8.79e-03,7.08e-01,1.70e+00,1.49e+00,1.06e-02,8.79e-03,3.86e-02,
[E4S12],1.31e-02,5.37e-02,1.02e-02,-4.05e-01,1.87e+00,1.68e+00,1.31e-02,1.02e-02,3.32e-02,
[E4S13],1.72e-01,6.04e-02,1.15e-02,1.11e+00,2.07e+00,1.92e+00,1.70e-02,1.15e-02,2.37e-02,
[E4S14],7.68e-02,6.52e-02,1.58e-02,1.16e-01,1.89e+00,1.76e+00,1.94e-02,1.58e-02,1.94e-02,
[E4S15],5.14e-02,5.87e-02,1.86e-02,-7.29e-02,1.83e+00,1.67e+00,1.99e-02,1.86e-02,2.43e-02,
[E4S16],5.26e-02,5.57e-02,1.81e-02,-3.10e-02,1.78e+00,1.61e+00,2.22e-02,1.81e-02,2.59e-02,
[E4S17],6.62e-02,5.65e-02,1.18e-02,9.72e-02,1.73e+00,1.56e+00,1.36e-02,1.18e-02,2.94e-02,
[E4S18],7.38e-02,5.20e-02,1.01e-02,2.18e-01,1.73e+00,1.54e+00,1.40e-02,1.01e-02,3.25e-02,
[E4S19],7.09e-02,5.21e-02,9.64e-03,1.88e-01,1.72e+00,1.52e+00,1.09e-02,9.64e-03,3.45e-02,
[E4S20],9.17e-02,5.45e-02,7.94e-03,3.72e-01,1.70e+00,1.50e+00,1.10e-02,7.94e-03,3.68e-02,
[E4S21],6.48e-02,5.57e-02,8.08e-03,9.09e-02,1.74e+00,1.54e+00,1.02e-02,8.08e-03,3.53e-02,
[E4S22],1.07e-01,5.43e-02,7.73e-03,5.23e-01,1.71e+00,1.51e+00,1.06e-02,7.73e-03,3.67e-02,
[E4S23],5.82e-02,5.34e-02,9.00e-03,4.78e-02,1.73e+00,1.54e+00,1.15e-02,9.00e-03,3.35e-02,
[E4S24],1.07e-01,5.52e-02,8.40e-03,5.17e-01,1.73e+00,1.53e+00,1.17e-02,8.40e-03,3.45e-02,
[E4S25],4.97e-02,5.22e-02,6.87e-03,-2.46e-02,1.74e+00,1.55e+00,9.77e-03,6.87e-03,3.45e-02,
[E4S26],8.12e-02,5.23e-02,6.71e-03,2.89e-01,1.69e+00,1.49e+00,9.81e-03,6.71e-03,3.76e-02,
[E4S27],1.02e-01,7.14e-02,6.98e-03,3.07e-01,1.66e+00,1.46e+00,8.52e-03,6.98e-03,3.71e-02,
[E4S28],1.27e-01,9.51e-02,9.46e-03,3.24e-01,1.75e+00,1.54e+00,9.61e-03,9.46e-03,3.90e-02,
[E4S29],1.33e-01,7.84e-02,8.09e-03,5.47e-01,1.68e+00,1.48e+00,1.02e-02,8.09e-03,3.59e-02,
[E4S30],4.95e-02,6.62e-02,8.14e-03,-1.66e-01,1.79e+00,1.59e+00,9.12e-03,8.14e-03,3.61e-02,
[E4S31],1.27e-01,5.24e-02,7.49e-03,7.46e-01,1.87e+00,1.71e+00,1.11e-02,7.49e-03,2.97e-02,
[E4S32],6.26e-02,5.81e-02,7.83e-03,4.52e-02,1.72e+00,1.56e+00,1.02e-02,7.83e-03,2.85e-02,
[E4S33],7.94e-02,5.17e-02,6.19e-03,2.77e-01,1.72e+00,1.55e+00,8.86e-03,6.19e-03,3.17e-02,
[E4S34],8.00e-02,5.43e-02,6.94e-03,2.57e-01,1.76e+00,1.56e+00,9.80e-03,6.94e-03,3.68e-02,
[E4S35],9.55e-02,5.64e-02,6.46e-03,3.91e-01,1.63e+00,1.43e+00,9.41e-03,6.46e-03,3.73e-02,
[E4S36],7.40e-02,5.53e-02,6.65e-03,1.87e-01,1.70e+00,1.51e+00,9.25e-03,6.65e-03,3.51e-02,
[E4S37],1.04e-01,6.15e-02,6.58e-03,4.24e-01,1.68e+00,1.48e+00,9.70e-03,6.58e-03,3.75e-02,
[E4S38],7.21e-02,5.55e-02,7.04e-03,1.66e-01,1.68e+00,1.48e+00,8.84e-03,7.04e-03,3.64e-02,
[E4S39],1.08e-01,5.79e-02,6.79e-03,4.99e-01,1.67e+00,1.46e+00,9.39e-03,6.79e-03,3.99e-02,
[E4S40],6.07e-02,4.99e-02,6.93e-03,1.08e-01,1.78e+00,1.58e+00,9.95e-03,6.93e-03,3.54e-02,
[E4S41],9.87e-02,5.37e-02,5.95e-03,4.50e-01,1.66e+00,1.46e+00,8.98e-03,5.95e-03,3.72e-02,
[E4S42],7.43e-02,5.38e-02,6.89e-03,2.05e-01,1.70e+00,1.50e+00,9.03e-03,6.89e-03,3.75e-02,
[E4S43],1.16e-01,5.96e-02,7.63e-03,5.62e-01,1.65e+00,1.43e+00,9.99e-03,7.63e-03,4.02e-02,
[E4S44],4.84e-02,5.57e-02,7.35e-03,-7.39e-02,1.76e+00,1.55e+00,9.91e-03,7.35e-03,3.72e-02,
[E4S45],1.26e-01,5.76e-02,7.96e-03,6.88e-01,1.78e+00,1.58e+00,1.08e-02,7.96e-03,3.66e-02,
[E4S46],4.29e-02,5.29e-02,8.62e-03,-1.00e-01,1.76e+00,1.59e+00,1.13e-02,8.62e-03,3.11e-02,
[E4S47],9.22e-02,5.55e-02,7.13e-03,3.67e-01,1.67e+00,1.48e+00,1.10e-02,7.13e-03,3.44e-02,
[E4S48],8.21e-02,5.56e-02,7.36e-03,2.65e-01,1.70e+00,1.50e+00,1.00e-02,7.36e-03,3.80e-02,
[E4S49],9.19e-02,6.05e-02,7.19e-03,3.15e-01,1.73e+00,1.52e+00,9.81e-03,7.19e-03,3.86e-02,
[E4S50],9.73e-02,5.76e-02,7.63e-03,3.97e-01,1.69e+00,1.49e+00,1.13e-02,7.63e-03,3.75e-02,
[E4S51],8.40e-02,5.36e-02,8.00e-03,3.04e-01,1.72e+00,1.52e+00,1.12e-02,8.00e-03,3.76e-02,
[E4S52],8.52e-02,5.28e-02,8.35e-03,3.24e-01,1.73e+00,1.52e+00,1.13e-02,8.35e-03,3.84e-02,
[E4S53],9.79e-02,5.62e-02,7.81e-03,4.17e-01,1.70e+00,1.49e+00,1.06e-02,7.81e-03,3.91e-02,
