E_LOSS,E_RGB_RL,E_THERMAL_RL,E_SL,D_LOSS,D_SL,D_RL_REAL,D_RL_FAKE,D_GP,
[E0S44],2.45e-01,1.78e-01,1.13e-02,6.67e-01,1.08e+00,9.06e-01,9.53e-03,1.13e-02,2.99e-02,
[E0S45],2.24e-01,1.37e-01,1.09e-02,8.68e-01,1.09e+00,9.31e-01,9.77e-03,1.09e-02,2.87e-02,
[E0S46],2.38e-01,1.54e-01,1.08e-02,8.37e-01,1.03e+00,8.54e-01,8.99e-03,1.08e-02,3.10e-02,
[E0S47],2.34e-01,1.55e-01,1.17e-02,7.84e-01,1.12e+00,9.49e-01,9.92e-03,1.17e-02,3.03e-02,
[E0S48],2.18e-01,1.15e-01,1.17e-02,1.03e+00,9.52e-01,7.82e-01,1.05e-02,1.17e-02,2.97e-02,
[E0S49],2.00e-01,1.34e-01,1.29e-02,6.62e-01,1.02e+00,8.35e-01,1.11e-02,1.29e-02,3.14e-02,
[E0S50],2.62e-01,1.40e-01,1.23e-02,1.22e+00,1.09e+00,8.94e-01,1.20e-02,1.23e-02,3.34e-02,
[E0S51],1.92e-01,1.42e-01,1.50e-02,4.94e-01,1.08e+00,9.07e-01,1.23e-02,1.50e-02,2.84e-02,
[E0S52],2.78e-01,1.45e-01,1.19e-02,1.34e+00,1.01e+00,8.39e-01,1.08e-02,1.19e-02,3.03e-02,
[E0S53],2.21e-01,1.63e-01,1.27e-02,5.79e-01,9.85e-01,8.22e-01,1.07e-02,1.27e-02,2.79e-02,
[E0S54],2.54e-01,1.31e-01,1.07e-02,1.24e+00,1.03e+00,8.66e-01,1.00e-02,1.07e-02,2.96e-02,
[E0S55],1.84e-01,1.14e-01,1.07e-02,6.95e-01,9.45e-01,7.79e-01,9.43e-03,1.07e-02,2.92e-02,
[E0S56],2.59e-01,1.23e-01,9.86e-03,1.36e+00,1.05e+00,8.68e-01,1.03e-02,9.86e-03,3.26e-02,
[E0S57],1.82e-01,1.22e-01,1.13e-02,5.93e-01,9.54e-01,7.99e-01,9.16e-03,1.13e-02,2.69e-02,
[E0S58],2.76e-01,1.25e-01,1.06e-02,1.51e+00,9.66e-01,7.90e-01,9.37e-03,1.06e-02,3.12e-02,
[E0S59],1.83e-01,1.13e-01,1.02e-02,6.97e-01,1.02e+00,8.65e-01,9.28e-03,1.02e-02,2.76e-02,
[E0S60],2.28e-01,1.21e-01,9.53e-03,1.07e+00,1.03e+00,8.48e-01,9.44e-03,9.53e-03,3.23e-02,
[E0S61],2.01e-01,1.26e-01,1.06e-02,7.50e-01,9.43e-01,7.84e-01,9.78e-03,1.06e-02,2.78e-02,
[E0S62],2.24e-01,1.30e-01,1.10e-02,9.46e-01,1.00e+00,8.37e-01,9.66e-03,1.10e-02,2.88e-02,
[E0S63],2.03e-01,1.36e-01,1.02e-02,6.74e-01,1.11e+00,9.40e-01,9.62e-03,1.02e-02,2.92e-02,
[E0S64],2.12e-01,1.29e-01,1.02e-02,8.28e-01,9.51e-01,7.95e-01,9.20e-03,1.02e-02,2.73e-02,
[E0S65],2.52e-01,1.76e-01,1.04e-02,7.60e-01,1.07e+00,9.00e-01,9.25e-03,1.04e-02,3.07e-02,
[E0S66],2.65e-01,1.60e-01,1.00e-02,1.05e+00,1.02e+00,8.60e-01,8.92e-03,1.00e-02,2.90e-02,
[E0S67],1.95e-01,1.45e-01,1.08e-02,5.06e-01,1.10e+00,9.48e-01,9.14e-03,1.08e-02,2.59e-02,
[E0S68],2.36e-01,1.27e-01,1.03e-02,1.10e+00,1.16e+00,9.99e-01,9.62e-03,1.03e-02,2.74e-02,
[E0S69],1.87e-01,1.35e-01,1.11e-02,5.16e-01,1.11e+00,9.57e-01,9.76e-03,1.11e-02,2.71e-02,
[E0S70],2.25e-01,1.36e-01,1.17e-02,8.84e-01,1.22e+00,1.06e+00,1.16e-02,1.17e-02,2.78e-02,
[E0S71],1.76e-01,1.31e-01,1.61e-02,4.51e-01,1.13e+00,9.69e-01,1.47e-02,1.61e-02,2.63e-02,
[E0S72],2.78e-01,1.74e-01,1.71e-02,1.04e+00,1.37e+00,1.19e+00,1.48e-02,1.71e-02,2.96e-02,
[E0S73],1.86e-01,1.29e-01,1.10e-02,5.73e-01,1.17e+00,1.02e+00,1.04e-02,1.10e-02,2.53e-02,
[E0S74],2.44e-01,1.64e-01,1.04e-02,7.91e-01,1.22e+00,1.06e+00,1.01e-02,1.04e-02,2.81e-02,
[E0S75],1.94e-01,1.51e-01,1.05e-02,4.38e-01,1.21e+00,1.07e+00,1.00e-02,1.05e-02,2.44e-02,
[E0S76],2.14e-01,1.31e-01,1.06e-02,8.35e-01,1.31e+00,1.16e+00,1.05e-02,1.06e-02,2.54e-02,
[E0S77],1.58e-01,1.26e-01,9.61e-03,3.25e-01,1.26e+00,1.12e+00,8.52e-03,9.61e-03,2.50e-02,
[E0S78],2.41e-01,1.83e-01,1.05e-02,5.79e-01,1.56e+00,1.42e+00,9.43e-03,1.05e-02,2.39e-02,
[E0S79],2.15e-01,1.65e-01,1.05e-02,5.00e-01,1.19e+00,1.05e+00,9.41e-03,1.05e-02,2.42e-02,
[E0S80],2.45e-01,1.80e-01,9.61e-03,6.52e-01,1.31e+00,1.15e+00,9.61e-03,9.61e-03,2.64e-02,
[E0S81],2.01e-01,1.58e-01,9.48e-03,4.34e-01,1.18e+00,1.04e+00,9.15e-03,9.48e-03,2.50e-02,
[E0S82],2.42e-01,1.47e-01,1.07e-02,9.52e-01,1.40e+00,1.25e+00,1.16e-02,1.07e-02,2.52e-02,
[E0S83],1.90e-01,1.93e-01,1.41e-02,-3.24e-02,1.57e+00,1.42e+00,1.27e-02,1.41e-02,2.50e-02,
[E0S84],2.26e-01,1.45e-01,1.20e-02,8.17e-01,1.49e+00,1.36e+00,1.45e-02,1.20e-02,2.03e-02,
[E1S0],2.09e-01,1.83e-01,1.25e-02,2.66e-01,1.45e+00,1.30e+00,1.21e-02,1.25e-02,2.42e-02,
[E1S1],2.17e-01,1.60e-01,1.04e-02,5.69e-01,1.35e+00,1.21e+00,1.07e-02,1.04e-02,2.43e-02,
[E1S2],2.11e-01,1.91e-01,1.26e-02,1.97e-01,1.38e+00,1.24e+00,9.51e-03,1.26e-02,2.45e-02,
[E1S3],2.20e-01,1.47e-01,1.05e-02,7.35e-01,1.45e+00,1.30e+00,1.20e-02,1.05e-02,2.42e-02,
[E1S4],1.73e-01,1.61e-01,1.05e-02,1.23e-01,1.45e+00,1.31e+00,9.03e-03,1.05e-02,2.57e-02,
[E1S5],2.45e-01,1.74e-01,1.07e-02,7.18e-01,1.56e+00,1.41e+00,1.11e-02,1.07e-02,2.57e-02,
[E1S6],2.36e-01,2.22e-01,1.16e-02,1.43e-01,1.50e+00,1.35e+00,9.42e-03,1.16e-02,2.40e-02,
[E1S7],2.74e-01,2.13e-01,1.00e-02,6.06e-01,1.52e+00,1.39e+00,9.83e-03,1.00e-02,2.34e-02,
[E1S8],2.13e-01,1.85e-01,9.72e-03,2.75e-01,1.39e+00,1.25e+00,9.81e-03,9.72e-03,2.33e-02,
[E1S9],2.45e-01,1.97e-01,1.04e-02,4.75e-01,1.51e+00,1.36e+00,1.04e-02,1.04e-02,2.48e-02,
[E1S10],2.21e-01,1.92e-01,1.04e-02,2.89e-01,1.53e+00,1.40e+00,9.49e-03,1.04e-02,2.38e-02,
[E1S11],2.38e-01,1.86e-01,1.22e-02,5.13e-01,1.46e+00,1.31e+00,1.15e-02,1.22e-02,2.48e-02,
[E1S12],2.10e-01,1.66e-01,1.33e-02,4.44e-01,1.38e+00,1.23e+00,1.29e-02,1.33e-02,2.56e-02,
[E1S13],2.03e-01,1.43e-01,1.68e-02,6.08e-01,1.41e+00,1.24e+00,1.44e-02,1.68e-02,2.78e-02,
[E1S14],2.10e-01,1.80e-01,1.39e-02,2.92e-01,1.34e+00,1.18e+00,1.50e-02,1.39e-02,2.46e-02,
[E1S15],2.10e-01,1.25e-01,1.38e-02,8.42e-01,1.49e+00,1.33e+00,1.43e-02,1.38e-02,2.62e-02,
[E1S16],1.63e-01,1.36e-01,1.11e-02,2.74e-01,1.40e+00,1.25e+00,1.16e-02,1.11e-02,2.42e-02,
[E1S17],2.17e-01,1.51e-01,1.04e-02,6.60e-01,1.47e+00,1.33e+00,1.07e-02,1.04e-02,2.40e-02,
[E1S18],1.91e-01,1.68e-01,9.59e-03,2.25e-01,1.54e+00,1.39e+00,9.68e-03,9.59e-03,2.49e-02,
[E1S19],1.92e-01,1.24e-01,9.06e-03,6.81e-01,1.43e+00,1.29e+00,9.68e-03,9.06e-03,2.29e-02,
[E1S20],1.77e-01,1.32e-01,8.37e-03,4.50e-01,1.32e+00,1.17e+00,8.43e-03,8.37e-03,2.60e-02,
[E1S21],2.35e-01,1.42e-01,8.35e-03,9.33e-01,1.36e+00,1.20e+00,9.79e-03,8.35e-03,2.76e-02,
[E1S22],1.67e-01,1.51e-01,9.20e-03,1.63e-01,1.36e+00,1.23e+00,1.02e-02,9.20e-03,2.22e-02,
[E1S23],2.36e-01,1.46e-01,8.73e-03,8.99e-01,1.49e+00,1.36e+00,9.39e-03,8.73e-03,2.19e-02,
[E1S24],1.54e-01,1.27e-01,9.38e-03,2.76e-01,1.35e+00,1.21e+00,1.04e-02,9.38e-03,2.53e-02,
[E1S25],2.02e-01,1.33e-01,9.51e-03,6.86e-01,1.47e+00,1.33e+00,1.11e-02,9.51e-03,2.51e-02,
[E1S26],1.81e-01,1.71e-01,9.53e-03,1.01e-01,1.47e+00,1.33e+00,9.39e-03,9.53e-03,2.46e-02,
[E1S27],2.02e-01,1.34e-01,1.02e-02,6.80e-01,1.41e+00,1.29e+00,1.06e-02,1.02e-02,2.09e-02,
[E1S28],1.72e-01,1.48e-01,1.05e-02,2.47e-01,1.49e+00,1.34e+00,1.03e-02,1.05e-02,2.56e-02,
[E1S29],1.87e-01,1.23e-01,8.77e-03,6.41e-01,1.37e+00,1.23e+00,1.01e-02,8.77e-03,2.33e-02,
[E1S30],1.56e-01,1.13e-01,9.59e-03,4.27e-01,1.34e+00,1.20e+00,9.05e-03,9.59e-03,2.47e-02,
[E1S31],1.87e-01,1.32e-01,9.72e-03,5.54e-01,1.29e+00,1.14e+00,9.48e-03,9.72e-03,2.71e-02,
[E1S32],1.92e-01,1.29e-01,1.06e-02,6.23e-01,1.44e+00,1.28e+00,1.03e-02,1.06e-02,2.78e-02,
[E1S33],1.68e-01,1.30e-01,1.24e-02,3.79e-01,1.41e+00,1.25e+00,1.31e-02,1.24e-02,2.77e-02,
[E1S34],1.89e-01,1.29e-01,1.25e-02,5.99e-01,1.36e+00,1.20e+00,1.29e-02,1.25e-02,2.72e-02,
[E1S35],1.59e-01,1.22e-01,1.22e-02,3.69e-01,1.40e+00,1.24e+00,1.23e-02,1.22e-02,2.78e-02,
[E1S36],1.96e-01,1.20e-01,1.22e-02,7.60e-01,1.44e+00,1.26e+00,1.37e-02,1.22e-02,2.95e-02,
[E1S37],1.68e-01,1.50e-01,1.34e-02,1.81e-01,1.49e+00,1.33e+00,1.29e-02,1.34e-02,2.76e-02,
[E1S38],2.20e-01,1.40e-01,1.10e-02,8.07e-01,1.41e+00,1.26e+00,1.15e-02,1.10e-02,2.70e-02,
[E1S39],1.59e-01,1.28e-01,1.12e-02,3.17e-01,1.39e+00,1.23e+00,1.20e-02,1.12e-02,2.82e-02,
[E1S40],2.17e-01,1.30e-01,1.12e-02,8.69e-01,1.50e+00,1.34e+00,1.12e-02,1.12e-02,2.84e-02,
